mode	independence	ind_3	ind_3_alt	mode_ind	mode_ind_3	mode_ind_3_alt	income_k	log_income_k	veh_per_driver	n_adults	non_work_mom	non_work_dad	age	female	has_lil_sib	has_big_sib	school	distance	log_distance	density	log_density	school_dist	avg_trip_dist	n_non_school_trips	had_school	av_car	av_walk	av_bike	alone_avail	with_mom_dad_avail	with_mom_avail	with_dad_avail	with_non_hh_avail	with_sib_avail	with_adult_avail
8	24	20	30	824	820	830	112.5	4.722953221644475	1	2	0	0	13	1	0	1	FALSE	1.1262999999999999	0.11893792407151366	115.83011583011583	4.7521245989447545	10.925109999999936	7.580535333333333	1	TRUE	1	1	1	1	1	1	1	1	1	1
8	24	20	30	824	820	830	175	5.1647859739235145	1	2	0	0	10	0	1	0	FALSE	0.246177	-1.4017044895794555	579.1505791505792	6.361562511378855	6.709529999999758	4.7875795	4	FALSE	1	1	1	1	1	1	1	1	1	1
9	10	10	10	910	910	910	175	5.1647859739235145	1	2	0	0	10	0	1	0	FALSE	0.490745	-0.7118306343644794	289.5752895752896	5.66841533081891	6.709529999999758	4.7875795	4	FALSE	1	1	1	1	1	1	1	1	1	1
8	24	20	30	824	820	830	175	5.1647859739235145	1	2	0	0	8	0	0	1	FALSE	0.246177	-1.4017044895794555	579.1505791505792	6.361562511378855	2.5904899999999356	6.219857666666667	3	FALSE	1	1	1	1	1	1	1	1	1	1
9	10	10	10	910	910	910	175	5.1647859739235145	1	2	0	0	13	0	0	0	FALSE	0.302492	-1.1957004481419418	1158.3011583011585	7.0547096919388	6.0337499999999995	3.3808308	5	FALSE	1	1	1	1	1	1	1	1	0	1
9	10	10	10	910	910	910	175	5.1647859739235145	1	2	0	0	13	0	0	0	FALSE	0.302492	-1.1957004481419418	1158.3011583011585	7.0547096919388	6.0337499999999995	3.3808308	5	FALSE	1	1	1	1	1	1	1	1	0	1
7	22	20	20	722	720	720	87.5	4.471638793363569	1	2	0	0	11	1	1	0	FALSE	1.618654	0.48159493968779366	1158.3011583011585	7.0547096919388	7.417489999999839	12.590223875	8	FALSE	1	1	1	1	1	1	1	1	1	1
7	22	20	20	722	720	720	87.5	4.471638793363569	1	2	0	0	11	1	1	0	FALSE	1.59291	0.46556253215674476	1158.3011583011585	7.0547096919388	7.417489999999839	12.590223875	8	FALSE	1	1	1	1	1	1	1	1	1	1
7	22	20	20	722	720	720	137.5	4.923623917106626	1.3333333333333333	2	0	0	8	1	0	1	FALSE	0.46178299999999994	-0.7726601952122699	289.5752895752896	5.66841533081891	6.339459999999903	3.1769705000000004	2	TRUE	1	1	1	1	1	1	1	1	1	1
8	30	30	30	830	830	830	137.5	4.923623917106626	1.3333333333333333	2	0	0	8	1	0	1	FALSE	0.46178299999999994	-0.7726601952122699	289.5752895752896	5.66841533081891	6.339459999999903	3.1769705000000004	2	TRUE	1	1	1	1	1	1	1	1	1	1
7	22	20	20	722	720	720	42.5	3.7495040759303713	1	2	1	0	9	0	0	0	FALSE	0.9782719999999999	-0.02196752900572397	2702.702702702703	7.902007552326004	0.9332199999999742	0.9782719999999999	2	FALSE	1	1	1	1	1	1	1	1	0	1
7	24	20	30	724	720	730	42.5	3.7495040759303713	1	2	1	0	9	0	0	0	FALSE	0.9782719999999999	-0.02196752900572397	2702.702702702703	7.902007552326004	0.9332199999999742	0.9782719999999999	2	FALSE	1	1	1	1	1	1	1	1	0	1
7	22	20	20	722	720	720	42.5	3.7495040759303713	1	4	1	0	12	1	1	0	TRUE	1.644398	0.49737435979175887	6563.706563706564	8.789310747326907	1.6572699999999518	1.6452025	0	TRUE	1	1	1	1	1	1	1	1	1	1
7	22	20	20	722	720	720	42.5	3.7495040759303713	1	4	1	0	12	1	1	0	TRUE	1.6460069999999998	0.49835235497973546	6563.706563706564	8.789310747326907	1.6572699999999518	1.6452025	0	TRUE	1	1	1	1	1	1	1	1	1	1
7	22	20	20	722	720	720	42.5	3.7495040759303713	1	4	1	0	9	1	0	1	TRUE	0.9155209999999999	-0.08826197684556006	6563.706563706564	8.789310747326907	0.8205899999999855	0.9147165	0	TRUE	1	1	1	1	1	1	1	1	1	1
7	22	20	20	722	720	720	42.5	3.7495040759303713	1	4	1	0	9	1	0	1	TRUE	0.913912	-0.0900209922507396	6563.706563706564	8.789310747326907	0.8205899999999855	0.9147165	0	TRUE	1	1	1	1	1	1	1	1	1	1
8	24	20	30	824	820	830	42.5	3.7495040759303713	1	2	0	0	10	1	1	0	FALSE	0.022526	-3.793085081356632	289.5752895752896	5.66841533081891	1.8020799999999193	0.957355	2	TRUE	1	1	1	1	1	1	1	1	1	1
8	10	10	10	810	810	810	42.5	3.7495040759303713	1	2	0	0	10	1	1	0	FALSE	0.022526	-3.793085081356632	289.5752895752896	5.66841533081891	1.8020799999999193	0.957355	2	TRUE	1	1	1	1	1	1	1	1	1	1
1	10	10	10	110	110	110	42.5	3.7495040759303713	1	2	0	0	8	1	0	1	FALSE	0.022526	-3.793085081356632	289.5752895752896	5.66841533081891	2.477859999999936	1.7956439999999998	1	TRUE	1	1	1	1	1	1	1	1	1	1
8	22	20	20	822	820	820	20	2.995732273553991	1	1	0	0	12	1	0	0	FALSE	0.357198	-1.0294650290996115	2702.702702702703	7.902007552326004	23.62011999999968	12.611020199999999	3	TRUE	1	1	1	1	0	1	0	1	0	1
8	22	20	20	822	820	820	20	2.995732273553991	1	1	0	0	12	1	0	0	FALSE	0.357198	-1.0294650290996115	2702.702702702703	7.902007552326004	23.62011999999968	12.611020199999999	3	TRUE	1	1	1	1	0	1	0	1	0	1
8	10	10	10	810	810	810	42.5	3.7495040759303713	1	2	1	0	13	1	0	1	TRUE	0.860815	-0.14987566407588435	1158.3011583011585	7.0547096919388	0.8045	0.860815	0	TRUE	1	1	1	1	1	1	1	1	1	1
8	10	10	10	810	810	810	42.5	3.7495040759303713	1	2	1	0	13	1	0	1	TRUE	0.860815	-0.14987566407588435	1158.3011583011585	7.0547096919388	0.8045	0.860815	0	TRUE	1	1	1	1	1	1	1	1	1	1
9	10	10	10	910	910	910	87.5	4.471638793363569	1	2	0	0	12	0	1	0	FALSE	0.15768200000000002	-1.847174932301319	1158.3011583011585	7.0547096919388	2.0595199999999516	1.129518	2	TRUE	1	1	1	1	1	1	1	1	1	1
9	10	10	10	910	910	910	87.5	4.471638793363569	1	2	0	0	12	0	1	0	FALSE	0.15768200000000002	-1.847174932301319	1158.3011583011585	7.0547096919388	2.0595199999999516	1.129518	2	TRUE	1	1	1	1	1	1	1	1	1	1
8	24	20	30	824	820	830	5	1.6094379124341003	0.5	2	0	0	13	0	1	0	TRUE	1.8406959999999999	0.6101437609678523	2702.702702702703	7.902007552326004	1.7859899999999356	1.8406959999999999	0	TRUE	1	1	1	1	0	1	0	1	1	1
8	24	20	30	824	820	830	5	1.6094379124341003	0.5	2	0	0	13	0	1	0	TRUE	1.8406959999999999	0.6101437609678523	2702.702702702703	7.902007552326004	1.7859899999999356	1.8406959999999999	0	TRUE	1	1	1	1	0	1	0	1	1	1
8	24	20	30	824	820	830	5	1.6094379124341003	0.5	2	0	0	12	1	1	1	TRUE	1.8406959999999999	0.6101437609678523	2702.702702702703	7.902007552326004	1.7859899999999356	1.8406959999999999	0	TRUE	1	1	1	1	0	1	0	1	1	1
8	24	20	30	824	820	830	5	1.6094379124341003	0.5	2	0	0	12	1	1	1	TRUE	1.8406959999999999	0.6101437609678523	2702.702702702703	7.902007552326004	1.7859899999999356	1.8406959999999999	0	TRUE	1	1	1	1	0	1	0	1	1	1
8	24	20	30	824	820	830	5	1.6094379124341003	0.5	2	0	0	11	0	1	1	TRUE	1.246975	0.22072061838145607	1158.3011583011585	7.0547096919388	1.174569999999984	1.246975	0	TRUE	1	1	1	1	0	1	0	1	1	1
8	30	30	30	830	830	830	5	1.6094379124341003	0.5	2	0	0	11	0	1	1	TRUE	1.246975	0.22072061838145607	1158.3011583011585	7.0547096919388	1.174569999999984	1.246975	0	TRUE	1	1	1	1	0	1	0	1	1	1
8	24	20	30	824	820	830	5	1.6094379124341003	0.5	2	0	0	9	0	1	1	TRUE	1.246975	0.22072061838145607	1158.3011583011585	7.0547096919388	1.174569999999984	1.246975	0	TRUE	1	1	1	1	0	1	0	1	1	1
8	24	20	30	824	820	830	5	1.6094379124341003	0.5	2	0	0	9	0	1	1	TRUE	1.246975	0.22072061838145607	1158.3011583011585	7.0547096919388	1.174569999999984	1.246975	0	TRUE	1	1	1	1	0	1	0	1	1	1
